,heat demand
1574,100.884485
1575,101.035885
1576,104.734471
1577,104.926786
1578,103.795418
1579,99.0931144
1580,94.706255
1581,86.0889317
1582,75.5244802
1583,71.3780741
1584,71.5284347
1585,73.0337052
1586,77.1285165
1587,80.8666267
1588,99.1237712
1589,117.872044
1590,128.466669
1591,127.586001
1592,120.12174
1593,113.988831
1594,110.083391
1595,105.127619
1596,101.717309
1597,100.311495
1598,101.016555
1599,100.081972
1600,102.442469
1601,101.187425
1602,100.620803
1603,97.0970523
1604,90.9938027
1605,82.1892719
1606,73.2818924
1607,69.9378545
1608,64.6355548
1609,66.5811954
1610,70.6496996
1611,76.9471733
1612,92.5131146
1613,110.887709
1614,120.884913
1615,116.95034
1616,111.61366
1617,106.215493
1618,100.371703
1619,95.9412726
1620,93.5337361
1621,92.1856232
1622,93.0336403
1623,94.1738338
1624,94.6484861
1625,93.9994079
1626,92.8023251
1627,91.9358655
1628,86.7878185
1629,76.5411121
1630,66.1560587
1631,62.9223353
1632,57.6668224
1633,59.4042899
1634,63.0340664
1635,68.6534506
1636,82.5433863
1637,98.9447839
1638,107.844205
1639,104.338033
1640,99.5794617
1641,94.764681
1642,89.5523081
1643,85.5994721
1644,83.4522599
1645,82.2496459
1646,83.0052641
1647,84.0215556
1648,84.4441569
1649,83.8645342
1650,82.797608
1651,82.024769
1652,77.4328158
1653,68.2929254
1654,59.0347626
1655,56.1429778
1656,54.4930494
1657,56.441815
1658,58.6310088
1659,63.7233312
1660,77.0115021
1661,95.7608523
1662,104.63582
1663,100.831883
1664,95.986898
1665,91.6634021
1666,86.6752341
1667,82.3220633
1668,79.9839438
1669,78.6922734
1670,79.2773463
1671,80.2550728
1672,80.8246121
1673,80.8584251
1674,80.2725824
1675,78.8265324
1676,74.858731
1677,66.2381244
1678,56.4566891
1679,53.2046426
1680,48.5446333
1681,50.7794769
1682,53.5818486
1683,58.3572303
1684,70.7829973
1685,88.1935613
1686,92.5163664
1687,88.9278015
1688,83.5998542
1689,80.2480473
1690,77.5475299
1691,72.1809613
1692,68.615872
1693,67.5962478
1694,68.2566122
1695,70.2625421
1696,72.5899257
1697,73.1868245
1698,71.8265639
1699,70.3097878
1700,69.5093029
1701,61.6567026
1702,52.9546574
